Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	197	2	131,58
ACDC	2400	198	2	184,83
ACDC	2400	198	2	121,19999999999999
ACDC	2400	198	2	154,53
ACDC	2400	198	2	201,96
ACDC	2400	198	2	73,44
ACDC	2400	198	2	198,9
ACDC	2400	199	2	146,88
ACDC	2400	199	2	187,86
ACDC	2400	199	2	193,92
ACDC	2400	200	2	168,3
ACDC	2400	200	2	100,98
ACDC	2400	200	2	215,13
ACDC	2400	200	2	136,35
ACDC	2400	201	2	70,0
ACDC	2400	201	2	60,0
ACDC	2400	202	2	138,65
ACDC	2400	202	2	48,3
ACDC	2400	210	2	127,68
ACDC	2400	210	2	59,584
ACDC	2400	211	2	
ACDC	2400	212	2	151,864
ACDC	2400	213	2	116,0
ACDC	2400	213	2	116,0
ACDC	2400	213	2	180,0
ACDC	2400	214	2	160,0
ACDC	2400	215	2	150,0
ACDC	2400	215	2	120,0
ACDC	2400	216	2	
ACDC	2400	218	2	57,419999999999995
ACDC	2400	219	2	60,4
ACDC	2400	219	2	105,7
ACDC	2400	228	2	222,0
ACDC	2400	229	2	171,36
ACDC	2400	229	2	144,76
ACDC	2400	229	2	123,2
ACDC	2400	232	2	
ACDC	2400	233	2	226,44
ACDC	2400	245	2	111,12
ACDC	2400	246	2	65,312
ACDC	2400	247	2	160,0
ACDC	2400	250	2	190,0
ACDC	2400	262	2	35,67213114754099
ACDC	2400	262	2	67,14754098360656
ACDC	2400	263	2	
ACDC	2400	265	2	
ACDC	2400	266	2	
ACDC	2400	280	2	
ACDC	2400	281	2	
ACDC	2400	282	2	
ACDC	2400	283	2	
ACDC	2400	284	2	
ACDC	2400	299	2	65,04918032786885
ACDC	2400	300	2	
ACDC	2400	301	2	56,65573770491804
